total_docks,latitude,station_name,longitude,id,docks_in_service,status,short_name,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
15,41.9098546522,Paulina Ave & North Ave,-87.66993016,a3a3b202-a135-11e9-9cda-0a87ae2ba916,15,In Service,TA1305000037,POINT (-87.669930160046 41.909854652167),488.0,17,2415,24,Census Tract 2415,24,17031241500,,241500,031
27,41.8895,Artesian Ave & Hubbard St,-87.688257,a3aca790-a135-11e9-9cda-0a87ae2ba916,27,In Service,15664,POINT (-87.688257 41.8895),558.0,17,2428,24,Census Tract 2428,24,17031242800,,242800,031
9,41.94609,Sacramento Blvd & Addison St,-87.702988,1594046413873042136,9,In Service,,POINT (-87.702988 41.94609),431.0,17,2101,21,Census Tract 2101,21,17031210100,,210100,031
9,41.836966,Tripp Ave & 31st St,-87.730502,1561012900190859852,9,In Service,,POINT (-87.730502 41.836966),258.0,17,3018.03,30,Census Tract 3018.03,30,17031301803,,301803,031
15,42.025784,Elmwood Ave & Austin St,-87.684107,a3b2ec43-a135-11e9-9cda-0a87ae2ba916,15,In Service,598,POINT (-87.684107 42.025784),,,,,810200,,,,,
15,41.931931,Damen Ave & Clybourn Ave,-87.677856,a3a6f2a2-a135-11e9-9cda-0a87ae2ba916,15,In Service,13271,POINT (-87.677856 41.931931),744.0,17,707,7,Census Tract 707,7,17031070700,,070700,031
15,41.8246,MLK Jr Dr & Pershing Rd,-87.61678,a3a743ff-a135-11e9-9cda-0a87ae2ba916,15,In Service,13420,POINT (-87.61678 41.8246),231.0,17,8396,35,Census Tract 8396,35,17031839600,,839600,031
11,41.953733,Kilbourn Ave & Irving Park Rd,-87.740569,a3b2c354-a135-11e9-9cda-0a87ae2ba916,11,In Service,590,POINT (-87.740569 41.953733),371.0,17,1602,16,Census Tract 1602,16,17031160200,,160200,031
11,41.816499,Cottage Grove Ave & 43rd St,-87.606582,a3a99346-a135-11e9-9cda-0a87ae2ba916,11,In Service,TA1308000023,POINT (-87.606582 41.816499),404.0,17,3903,39,Census Tract 3903,39,17031390300,,390300,031
11,41.960631,Knox Ave & Montrose Ave,-87.745359,a3b2cd97-a135-11e9-9cda-0a87ae2ba916,11,In Service,592,POINT (-87.745359 41.960631),371.0,17,1602,16,Census Tract 1602,16,17031160200,,160200,031
9,41.7990641,Kedzie Ave & 52nd St,-87.703446,1582242302452717116,9,In Service,,POINT (-87.703446 41.7990641),776.0,17,6304,63,Census Tract 6304,63,17031630400,,630400,031
19,41.874754,900 W Harrison St,-87.649807,a3a56ae5-a135-11e9-9cda-0a87ae2ba916,19,In Service,13028,POINT (-87.649807 41.874754),103.0,17,8419,28,Census Tract 8419,28,17031841900,,841900,031
15,41.883165,Sangamon St & Washington Blvd,-87.6511,a3a84ab4-a135-11e9-9cda-0a87ae2ba916,15,In Service,13409,POINT (-87.6511 41.883165),66.0,17,8330,28,Census Tract 8330,28,17031833000,,833000,031
19,41.973815,Broadway & Argyle St,-87.65966,a3aa10ca-a135-11e9-9cda-0a87ae2ba916,19,In Service,13108,POINT (-87.65966 41.973815),644.0,17,312,3,Census Tract 312,3,17031031200,,031200,031
9,41.922278,Nordica & Medill,-87.8020357,1575949532952438778,9,In Service,,POINT (-87.8020357 41.922278),141.0,17,8316,18,Census Tract 8316,18,17031831600,,831600,031
15,41.907626,Sedgwick St & Schiller St,-87.638566,a3a854bf-a135-11e9-9cda-0a87ae2ba916,15,In Service,TA1307000143,POINT (-87.638566 41.907626),318.0,17,804,8,Census Tract 804,8,17031080400,,080400,031
15,41.735629,Paulina Ave & 87th St,-87.66552,1869786699581020630,15,In Service,23122,POINT (-87.66552 41.735629),495.0,17,7113,71,Census Tract 7113,71,17031711300,,711300,031
19,41.907655,Wood St & Milwaukee Ave,-87.672552,a3a49cd7-a135-11e9-9cda-0a87ae2ba916,19,In Service,13221,POINT (-87.672552 41.907655),488.0,17,2415,24,Census Tract 2415,24,17031241500,,241500,031
15,41.983593,Clark St & Bryn Mawr Ave,-87.669154,a3af368c-a135-11e9-9cda-0a87ae2ba916,15,In Service,KA1504000151,POINT (-87.669154 41.983593),551.0,17,304,77,Census Tract 304,77,17031030400,,030400,031
11,41.8378,Morgan St & 31st St,-87.65114,a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,11,In Service,TA1308000046,POINT (-87.65114 41.8378),686.0,17,6009,60,Census Tract 6009,60,17031600900,,600900,031
31,41.963982,Montrose Harbor,-87.638181,a3a8999a-a135-11e9-9cda-0a87ae2ba916,31,In Service,TA1308000012,POINT (-87.638181 41.963982),646.0,17,314,3,Census Tract 314,3,17031031400,,031400,031
11,41.885928,Kostner Ave & Lake St,-87.73541,a3b1330c-a135-11e9-9cda-0a87ae2ba916,11,In Service,536,POINT (-87.73541 41.885928),628.0,17,2603,26,Census Tract 2603,26,17031260300,,260300,031
23,41.885637,Clinton St & Lake St,-87.641823,a3a4a71e-a135-11e9-9cda-0a87ae2ba916,23,In Service,13021,POINT (-87.641823 41.885637),780.0,17,2801,28,Census Tract 2801,28,17031280100,,280100,031
11,41.749119,Columbus Ave & 79th St,-87.704263,1879439147302566804,11,In Service,23128,POINT (-87.704263 41.749119),210.0,17,7004.01,70,Census Tract 7004.01,70,17031700401,,700401,031
6,41.8113904,Kedzie Ave & 45th St,-87.7040052,1582242315337619018,6,In Service,,POINT (-87.7040052 41.8113904),86.0,17,8428,58,Census Tract 8428,58,17031842800,,842800,031
15,41.895634,Wood St & Chicago Ave,-87.672069,a3b419d9-a135-11e9-9cda-0a87ae2ba916,15,In Service,637,POINT (-87.672069 41.895634),529.0,17,2432,24,Census Tract 2432,24,17031243200,,243200,031
15,41.857901,Paulina St & 18th St,-87.668745,a3a7be40-a135-11e9-9cda-0a87ae2ba916,15,In Service,TA1307000159,POINT (-87.668745 41.857901),354.0,17,3108,31,Census Tract 3108,31,17031310800,,310800,031
23,41.867324,Halsted St & Roosevelt Rd,-87.648625,a3a47dde-a135-11e9-9cda-0a87ae2ba916,23,In Service,TA1305000017,POINT (-87.648625 41.867324),103.0,17,8419,28,Census Tract 8419,28,17031841900,,841900,031
9,41.868114,Homan Ave & Fillmore St,-87.7109257,1561012891600925250,9,In Service,,POINT (-87.7109257 41.868114),100.0,17,8430,29,Census Tract 8430,29,17031843000,,843000,031
15,41.760703,Kedzie Ave & 73rd St,-87.702292,1869052846885132442,15,In Service,23136,POINT (-87.702292 41.760703),360.0,17,6611,66,Census Tract 6611,66,17031661100,,661100,031
11,41.786833,Marshfield Ave & 59th St,-87.666215,a3b22815-a135-11e9-9cda-0a87ae2ba916,11,In Service,560,POINT (-87.666215 41.786833),395.0,17,6703,67,Census Tract 6703,67,17031670300,,670300,031
9,41.934003,Elston Ave & George St,-87.690823,1594046452527747848,9,In Service,,POINT (-87.690823 41.934003),473.0,17,2109,21,Census Tract 2109,21,17031210900,,210900,031
11,41.778881,Stony Island Ave & 64th St,-87.586647,a3a528d0-a135-11e9-9cda-0a87ae2ba916,11,In Service,KA1503000021,POINT (-87.586647 41.778881),139.0,17,8439,42,Census Tract 8439,42,17031843900,Small area in CA 43,843900,031
15,41.865054,Racine Ave & 13th St,-87.656959,a3a5fb0d-a135-11e9-9cda-0a87ae2ba916,15,In Service,13165,POINT (-87.656959 41.865054),101.0,17,8429,28,Census Tract 8429,28,17031842900,,842900,031
