ID,Tract
1058,520200
512,832300
1057,10701
513,330102
1056,831100
514,230700
515,843000
516,843200
517,30601
518,10100
519,844700
1077,830600
1074,70600
1073,430900
1072,520300
1071,839700
10,301200
5,242200
4,282800
521,60100
522,62600
1069,730100
402,40402
523,
1068,612200
403,671300
524,420400
1067,510100
404,611200
405,834300
526,20702
527,8390
407,842100
528,650301
408,570400
529,240500
10,550100
1087,231500
1086,680600
1085,31100
1084,32100
1083,411200
5,8413
531,840200
532,836400
412,831000
533,130100
534,291200
1079,520300
414,230600
535,832600
1078,30900
1199,691500
415,680900
536,2416
416,251800
537,281900
417,251400
538,020301
539,221100
419,440300
1091,832600
10,20901
1098,834700
1097,210100
1094,691500
1093,250200
1092,251200
5,3302
4,30800
541,320400
421,612100
542,833100
422,271300
543,839000
423,71200
544,831900
424,140500
425,70300
546,320101
1089,841500
305,560200
426,580200
547,330101
306,10202
427,120400
307,640300
428,20500
549,830900
308,231200
429,430102
309,630900
5,330103
4,251600
551,280100
431,832400
552,190200
432,836600
553,843500
433,220400
554,222600
434,834200
555,8306
435,30800
556,830900
436,842500
557,20200
437,670100
558,720600
559,30102
5,81800
4,834700
561,330103
3,730100
441,671500
562,4905
321,380600
563,550200
201,250800
322,836000
443,842600
564,838800
202,290900
323,380600
565,838800
203,2216
324,390100
566,4601
204,836800
325,836400
446,750100
567,831000
205,833300
326,834400
447,63000
568,40100
206,837400
448,380600
569,833100
207,251400
328,420200
449,62600
208,842300
329,420800
209,252101
5,62300
4,10502
571,600700
451,841100
572,
2,833000
331,834400
452,130100
573,500300
211,833100
332,271800
453,301600
574,280800
212,300600
333,837300
213,310900
334,710200
455,221600
576,5502
214,241400
335,120200
577,750500
215,832900
336,420200
457,843700
578,280400
216,310500
337,834400
217,241600
338,837100
459,431400
218,843100
339,835800
219,240900
5,170100
581,750500
3,834400
582,720100
462,30601
583,510100
1,70101
584,530200
343,830700
464,120100
585,660302
344,837400
465,839000
586,661000
103,31800
466,839000
587,490200
104,020902
225,530503
588,500200
105,80100
347,291200
468,620300
589,491000
106,51400
227,30500
348,31700
107,81300
228,160602
108,838300
229,170600
109,842200
5,380600
591,836500
592,380100
2,301803
351,843600
472,760801
593,140500
1,40900
231,430800
352,310200
594,839800
232,460400
353,838700
474,841500
595,530503
233,560300
354,841800
596,842800
355,838700
234,640300
476,081403
597,838800
235,730400
477,81403
598,842200
115,10400
236,730700
478,826700
599,30400
237,480100
479,330200
359,290900
238,5611
239,710500
,660900
11,520100
12,833900
13,490901
14,610300
15,691500
16,838800
17,550100
18,440900
19,843900
4,330200
3,330103
481,841900
2,20200
361,261000
482,430500
1,220702
241,20701
362,390200
121,180100
242,700502
363,4701
484,650500
122,191100
243,670500
364,832100
485,390200
123,190601
244,500100
365,71600
486,40402
124,230300
245,650301
366,120200
487,31700
125,200401
246,10202
488,830700
126,200200
247,620300
368,480500
127,831600
248,520600
128,220901
249,842400
129,250400
21,400300
22,835100
23,590500
24,320101
26,7112
27,330101
29,834300
4,720200
3,560900
2,570300
371,640400
492,8360
1,250400
251,740300
372,570200
493,60500
131,190702
373,750500
494,410100
132,230500
254,720400
375,832600
496,843000
255,540101
497,837800
256,170200
257,120100
378,410900
499,5203
258,150501
379,530400
259,490500
33,700200
34,330101
381,8311
2,580600
1,100200
261,350400
382,710800
141,100300
262,842900
263,351000
384,10501
264,700401
385,31300
265,700302
386,710900
145,150300
266,351500
387,841800
146,151100
267,839200
388,460500
147,150300
268,700302
389,243100
148,171000
,1404
41,140302
42,040201
45,7506
46,750200
47,750200
48,750400
49,750200
3,30200
2,440300
391,834800
271,835500
392,60400
272,490700
393,240200
273,20301
394,835600
274,130300
395,681300
275,140100
396,836700
397,711000
156,40700
277,410700
398,61500
157,140800
278,390400
399,241100
158,40800
279,410700
159,140800
,750500
57,90300
59,40100
2,410800
283,222200
285,110300
165,20302
286,340600
166,10201
287,530300
167,20301
288,540102
168,10701
289,440202
,90300
61,90200
62,90200
65,491100
66,730500
2,62800
291,410600
292,410500
293,220602
294,843900
295,841300
175,720200
296,700100
176,720100
177,730201
178,720200
299,31200
179,720200
,120400
75,130300
185,843700
186,40300
187,210100
188,20802
189,160700
,160800
81,831100
82,140602
83,160900
84,161200
85,160200
86,160100
195,120300
,140400
91,100100
93,110200
94,110502
95,110502
1206,71300
1205,720700
1204,251400
1203,691200
1201,500300
12,81201
1209,836400
1207,243300
