id,address,status,match_quality,matched_address,tiger_line_id,tiger_side,state,county,tract,block,longitude,latitude
1115,"3141 N KENMORE AVE, Chicago, IL, 60657",Match,Exact,"3141 N KENMORE AVE, CHICAGO, IL, 60657",605239463.0,R,17.0,31.0,62900.0,1001.0,-87.65520438649861,41.938656515735204
1114,"1243 S KEELER AVE, Chicago, IL, 60623",Match,Exact,"1243 S KEELER AVE, CHICAGO, IL, 60623",605088146.0,L,17.0,31.0,290900.0,1012.0,-87.72995387882196,41.865024442693425
1113,"1630 S JEFFERSON ST, Chicago, IL, 60616",Match,Exact,"1630 S JEFFERSON ST, CHICAGO, IL, 60616",605101599.0,R,17.0,31.0,310200.0,1000.0,-87.64200172596924,41.85945488367588
1112,"4319 S INDIANA AVE, Chicago, IL, 60653",Match,Exact,"4319 S INDIANA AVE, CHICAGO, IL, 60653",111770587.0,L,17.0,31.0,835800.0,1005.0,-87.62130578668263,41.815680240042184
1111,"5635 S INDIANA AVE, Chicago, IL, 60637",Match,Exact,"5635 S INDIANA AVE, CHICAGO, IL, 60637",111771065.0,L,17.0,31.0,400400.0,1010.0,-87.6207064812063,41.79227281580722
1119,"4800 N LAVERGNE AVE, Chicago, IL, 60630",Match,Exact,"4800 N LAVERGNE AVE, CHICAGO, IL, 60630",605181199.0,L,17.0,31.0,110502.0,1017.0,-87.7527113891469,41.96802243871349
1011,"5210 W 64TH ST, Chicago, IL, 60638",Match,Exact,"5210 W 64TH ST, CHICAGO, IL, 60638",111815659.0,R,17.0,31.0,640700.0,2004.0,-87.75243311333918,41.776060466405056
1132,"11710 S MORGAN ST, Chicago, IL, 60643",Match,Exact,"11710 S MORGAN ST, CHICAGO, IL, 60643",111833438.0,R,17.0,31.0,530300.0,2012.0,-87.64700245964383,41.6824033431717
1253,"1300 W FARGO AVE, Chicago, IL, 60626",Match,Exact,"1300 W FARGO AVE, CHICAGO, IL, 60626",605265114.0,R,17.0,31.0,10300.0,2000.0,-87.6635993461249,42.017251420163745
1010,"1330 E 50TH ST, Chicago, IL, 60615",Match,Exact,"1330 E 50TH ST, CHICAGO, IL, 60615",638712978.0,L,17.0,31.0,390600.0,2003.0,-87.59458963553766,41.8042603135961
1130,"1814 N MONTICELLO AVE, Chicago, IL, 60647",Match,Exact,"1814 N MONTICELLO AVE, CHICAGO, IL, 60647",605055262.0,L,17.0,31.0,222900.0,1017.0,-87.71797105387634,41.91400505046272
1251,"1040 W COLUMBIA AVE, Chicago, IL, 60626",Match,Exact,"1040 W COLUMBIA AVE, CHICAGO, IL, 60626",616887351.0,R,17.0,31.0,10400.0,1000.0,-87.65804103015927,42.0047098384718
1008,"5839 S WOOD ST, Chicago, IL, 60636",Match,Exact,"5839 S WOOD ST, CHICAGO, IL, 60636",605453341.0,L,17.0,31.0,670300.0,1009.0,-87.66920030754108,41.787941864923084
1129,"2632 W 66TH ST, Chicago, IL, 60629",Match,Exact,"2632 W 66TH ST, CHICAGO, IL, 60629",605309030.0,R,17.0,31.0,660800.0,2004.0,-87.68970413457623,41.77373450090363
1128,"848 S MILLER ST, Chicago, IL, 60607",Match,Exact,"848 S MILLER ST, CHICAGO, IL, 60607",624523314.0,R,17.0,31.0,833300.0,1018.0,-87.6523345505442,41.870962227651546
1006,"1845 W RICE ST, Chicago, IL, 60622",Match,Exact,"1845 W RICE ST, CHICAGO, IL, 60622",605067760.0,L,17.0,31.0,242200.0,2013.0,-87.67431258991121,41.896806849958125
