city,systemstop,public_nam,cross_st,pos,owlroutes,dir,street,routesstpg,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
CHICAGO,11888.0,California & Balmoral,BALMORAL,NS,,SB,CALIFORNIA,93,POINT (-87.69910800000002 41.97955400000001),629.0,17,403,4,Census Tract 403,4,17031040300,,040300,031
CHICAGO,8756.0,2608 S Damen,2608 SOUTH,MB,,SB,DAMEN,50,POINT (-87.67577709400001 41.84474830400001),132.0,17,8432,31,Census Tract 8432,31,17031843200,,843200,031
CHICAGO,7855.0,3501 N Kimball,3501 NORTH,MB,,SB,KIMBALL,82,POINT (-87.71275499299998 41.94469061900003),143.0,17,8311,21,Census Tract 8311,21,17031831100,,831100,031
CHICAGO,8568.0,Cumberland & Argyle,ARGYLE,NS,,SB,CUMBERLAND,81W,POINT (-87.83670999899999 41.970324000000005),8.0,17,7608.03,76,Census Tract 7608.03,76,17031760803,,760803,031
CHICAGO,7535.0,Michigan & 102nd Street,102ND STREET,NS,N34,SB,MICHIGAN,"34,103,106,119",POINT (-87.619982284 41.709155528),582.0,17,4908,49,Census Tract 4908,49,17031490800,,490800,031
CHICAGO,9853.0,Avondale & Highland,HIGHLAND,NS,,SEB,AVONDALE,88,POINT (-87.80921992399999 41.99637232399999),663.0,17,903,9,Census Tract 903,9,17031090300,Partially outside City Boundary,090300,031
HOMETOWN,12875.0,8900 S Pulaski,8900 SOUTH,MB,,SB,PULASKI,53A,POINT (-87.72178837899997 41.730098466000015),,,,,,,,,,
CHICAGO,3819.0,Lawrence & Lamon,LAMON (east leg),NS,N81,WB,LAWRENCE,81,POINT (-87.749846725 41.968071592),749.0,17,1204,12,Census Tract 1204,12,17031120400,,120400,031
CHICAGO,10856.0,75th Street & Phillips,PHILLIPS (east leg),NS,N5,WB,75TH STREET,"N5,75",POINT (-87.56461655999999 41.759065728999985),254.0,17,4313.02,43,Census Tract 4313.02,43,17031431302,,431302,031
CHICAGO,7418.0,35th Street & Rockwell,ROCKWELL,NT,,WB,35TH STREET,35,POINT (-87.68990490800002 41.830247069999984),648.0,17,5801,58,Census Tract 5801,58,17031580100,,580100,031
CHICAGO,5694.0,2700 W Irving Park,2700 WEST,MB,,WB,IRVING PARK,80,POINT (-87.69619166299998 41.954091355),119.0,17,1606.02,16,Census Tract 1606.02,16,17031160602,,160602,031
SUMMIT,4688.0,63rd Street & 75th Avenue,75TH AVENUE,NS,,WB,63RD STREET,"62H,63W",POINT (-87.808108307 41.777203927000016),,,,,,,,,,
CHICAGO,12419.0,119th Street & Princeton,PRINCETON,NS,,WB,119TH STREET,119,POINT (-87.629730096 41.678005961999986),265.0,17,5302,53,Census Tract 5302,53,17031530200,,530200,031
CHICAGO,8929.0,Damen & Milwaukee/North Ave (Blue Line),MILWAUKEE/NORTH AVE.,NS,,NB,DAMEN,50,POINT (-87.67737039299999 41.90995194499999),487.0,17,2414,24,Census Tract 2414,24,17031241400,,241400,031
CHICAGO,17106.0,63rd Street & Melvina,MELVINA,FS,,WB,63RD STREET,63W,POINT (-87.77656653100001 41.77782817299999),275.0,17,6403,64,Census Tract 6403,64,17031640300,,640300,031
CHICAGO,17112.0,55th Street & Central,CENTRAL,FS,,WB,55TH STREET,"55A,55N",POINT (-87.762812999 41.792804244000024),598.0,17,5608,56,Census Tract 5608,56,17031560800,,560800,031
CHICAGO,12015.0,93rd Street & Jeffery,JEFFERY,NS,N5,WB,93RD STREET,"N5,95",POINT (-87.57531046499997 41.726176451000015),498.0,17,4804,48,Census Tract 4804,48,17031480400,,480400,031
CHICAGO,12172.0,103rd Street & Normal,NORMAL,NS,,WB,103RD STREET,103,POINT (-87.63543870500001 41.70708002600003),605.0,17,7305,73,Census Tract 7305,73,17031730500,,730500,031
