Station Name,Tract
Western Ave & Ardmore Ave,
Lavergne Ave & Fullerton Ave,
Smith Park,
Meade Ave & Addison St,
Fairbanks Ct & Grand Ave,
Kedzie Ave & Redfield Dr,
Cherry Ave & Blackhawk St,
Richmond St & 59th St,
Pulaski Rd & 51st St,
LaSalle St & Illinois St,
Exchange Ave & 79th St,
Pulaski & Ann Lurie Pl,
LaSalle St & Washington St,
Augusta Blvd & Laramie Ave,
Larrabee St & Menomonee St,
Ashland Ave & McDowell Ave,
Damen Ave & Sunnyside Ave,
Kostner Ave & Belmont Ave,
Halsted St & Archer Ave,
California Ave & Montrose Ave,
St Louis Ave & Norman Bobbins Ave,
Avenue O & 118th St,
Kedzie Ave & Bryn Mawr Ave,
Michigan Ave & 114th St,
Sacramento Blvd & Franklin Blvd,
Western Ave & Leland Ave,
Western Ave & Congress Pkwy,
Loomis St & Lexington St,
Hegewisch Metra Station,
Wabash Ave & 87th St,
Spaulding Ave & Division St,
Wood St & 35th St,
Kedzie Ave & Lake St,
Central Park Ave & North Ave,
Bissell St & Armitage Ave*,
Southport Ave & Belmont Ave,
Lincoln Park Conservatory,
Clyde Ave & 87th St,
Halsted St & 51st St,
State St & 123rd St,
Halsted St & 69th St,
Elston Ave & Cortland St,
Kosciuszko Park,
Bradley Park,
Greenview Ave & Diversey Pkwy,
Calumet Ave & 51st St,
Wallace St & 35th St,
Jeffery Blvd & 76th St,
Altgeld Gardens,
California Ave & Fletcher St,
California Ave & 26th St,
Kedzie Ave & Leland Ave,
Torrence Ave & 126th Pl,
Calumet Ave & 21st St,
Keystone Ave & Montrose Ave,
Dodge Ave & Main St,809700
Halsted St & North Branch St,
Humboldt Blvd & Armitage Ave,
Wilton Ave & Belmont Ave,
DuSable Museum,
Ashland Ave & 74th St,
Lake Park Ave & 35th St,
Clarendon Ave & Gordon Ter,
Elizabeth St & 92nd St,
Franklin St & Chicago Ave,
Mies van der Rohe Way & Chicago Ave,
Loomis Blvd & 84th St,
Kedzie Ave & Harrison St,
Glenwood Ave & Morse Ave,
Wells St & Institute Pl,
McClurg Ct & Ohio St,
Martin Luther King Dr & 111th St,
St. Louis Ave & Fullerton Ave,
Kimball Ave & Belmont Ave,
Michigan Ave & Washington St,
Dauphin Ave & 103rd St,
California Ave & 23rd Pl,
Kingsbury St & Erie St,
State St & Pearson St,
Wentworth Ave & 104th St,
Franklin St & Illinois St,
Austin Blvd & Lake St,
Commercial Ave & 130th St,
Peoria St & Jackson Blvd,
Laflin St & Cullerton St,
Lakefront Trail & Bryn Mawr Ave,
Lincoln Ave & Roscoe St*,
Ewing Ave & Burnham Greenway,
Kedzie Ave & Roosevelt Rd,
Rockwell St & Eastwood Ave,
Big Marsh Park,
Western Ave & Walton St,
Clinton St & Polk St,
St. Louis Ave & Balmoral Ave,
Halsted St & 96th St,
Paulina St & Flournoy St,
Federal St & Polk St,
Chicago State University,
Ashland Ave & Chicago Ave,
Stony Island Ave & 90th St,
Sheridan Rd & Loyola Ave,
Western Ave & 28th St,
California Ave & Byron St,
Princeton Ave & 47th St,
State St & Pershing Rd,
MLK Jr Dr & 63rd St,
