ID,Tract,latitude,longitude
30264,812301,41.886988, -87.793783
30196,040700,41.966115, -87.6941
30150,031200,41.969139, -87.658493
30054,251400,41.887389, -87.76565
30292,836800,41.884904, -87.716523
30232,063000,41.936033, -87.653266
30078,809300,42.058282, -87.683337
30157,838100,41.875706, -87.673932
30209,381400,41.809209, -87.618826
30289,320102,41.884809, -87.627813
30257,063000,41.939751, -87.65338
30228,010300,42.015876, -87.669092
30216,840200,41.84678, -87.648088
30011,809402,42.04771, -87.683543
30270,330200,41.867368, -87.627402
30233,071100,41.925051, -87.652866
30079,809300,42.058282, -87.683337
30137,081800,41.89681, -87.635924
30261,839100,41.875568, -87.631722
30211,320400,41.880745, -87.627696
30291,836800,41.884904, -87.716523
30225,140701,41.965996, -87.708821
30024,381800,41.80209, -87.618487
30099,400300,41.795172, -87.618327
30206,843200,41.839234, -87.665317
30064,081500,41.891665, -87.628021
30381,330103,41.853115, -87.626402
30100,400300,41.795172, -87.618327
30200,838200,41.871551, -87.66953
30018,830800,41.966286, -87.678639
30029,292400,41.853732, -87.724311
30022,590500,41.829353, -87.680622
30164,810000,42.027612, -87.678329
30052,810000,42.033456, -87.679538
30106,830700,41.964273, -87.657588
30110,320400,41.878153, -87.627596
30273,061000,41.947428, -87.653626
30229,031200,41.973453, -87.65853
30165,839100,41.876862, -87.628196
30016,832100,41.953775, -87.654929
30001,813100,41.870851, -87.776812
30107,161000,41.952925, -87.729229
30072,839100,41.883164, -87.62944
30055,251400,41.887389, -87.76565
30048,271300,41.874341, -87.70604
30385,830700,41.964273, -87.657588
30177,834600,41.780536, -87.630952
30166,839100,41.876862, -87.628196
30219,630300,41.804236, -87.704406
30135,251800,41.887163, -87.754986
30276,842400,41.735372, -87.624717
30002,813100,41.870851, -87.776812
30043,282700,41.875478, -87.688436
30283,040600,41.966163, -87.688502
30111,221400,41.921939, -87.69689
30076,816000,41.874257, -87.817318
30383,320102,41.88322, -87.626189
30053,810000,42.033456, -87.679538
30159,770700,41.983507, -87.859388
30132,320400,41.879507, -87.626037
30194,841100,41.853206, -87.630968
30025,381800,41.80209, -87.618487
30067,030703,41.977984, -87.658668
30145,100500,41.98227, -87.8089
30012,210601,41.938132, -87.712359
30199,838200,41.871551, -87.66953
30049,271300,41.874341, -87.70604
30121,080202,41.90392, -87.631412
30059,380600,41.821732, -87.621371
30117,292500,41.853751, -87.733258
30226,140701,41.965996, -87.708821
30027,807300,42.038951, -87.751919
30296,833000,41.885586, -87.652193
30170,030101,41.990259, -87.659076
30187,831400,41.871574, -87.745154
30297,807700,42.02624348, -87.74722084
30138,081800,41.89681, -87.635924
30246,835800,41.816462, -87.619021
30028,292400,41.853732, -87.724311
30033,280400,41.885269, -87.666969
30140,420800,41.780309, -87.605857
30037,340500,41.831191, -87.630636
30182,980100,41.78661, -87.737875
30116,241400,41.909744, -87.677437
30215,840200,41.84678, -87.648088
30212,320400,41.880745, -87.627696
30075,839100,41.885737, -87.630886
30241,809300,42.063987, -87.685617
30005,260100,41.885412, -87.725404
30120,812500,41.887159, -87.783661
30176,010202,42.019063, -87.672892
30204,801300,42.073153, -87.69073
30010,809402,42.04771, -87.683543
30223,835600,41.79542, -87.631157
30073,839100,41.883164, -87.62944
30126,842200,41.910655, -87.649177
30065,081500,41.891665, -87.628021
