Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
210700,11385.0,0.15,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,5.0,5.0,0.019998
210800,2300.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,1.0,25.0,20.0,0.06666
210900,9471.0,0.16,1.0,0.0,0.0,10.0,12.0,0.0,0.0,2.0,17.0,10.0,0.036663
220300,4054.0,1.78,1.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,13.0,0.046662
220400,8457.0,0.16,1.0,0.0,0.0,10.0,13.0,0.0,0.0,2.0,19.0,11.0,0.039996000000000004
220500,5024.0,0.0,0.0,1.0,26.0,8.0,12.0,0.0,0.0,0.0,0.0,12.0,0.126654
220601,3070.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,1.0,18.0,20.0,0.06666
220602,18136.0,1.44,1.0,0.0,0.0,19.0,16.0,2.0,12.0,1.0,3.0,10.0,0.036663
220701,3080.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,0.026664
220702,12387.0,9.01,1.0,0.0,0.0,15.0,14.0,0.0,0.0,1.0,4.0,10.0,0.036663
220901,5886.0,4.91,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,0.016665
220902,3139.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,15.0,0.049995
221000,2570.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,9.0,0.029996999999999996
221100,13494.0,8.26,1.0,0.0,0.0,13.0,11.0,0.0,0.0,1.0,4.0,8.0,0.029997
221200,3074.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,13.0,0.043329
221300,6042.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,3.0,29.0,15.0,0.049995
221400,9738.0,0.0,0.0,0.0,0.0,14.0,16.0,2.0,19.0,2.0,16.0,14.0,0.046662
221500,5526.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,2.0,20.0,15.0,0.049995
221600,6936.0,1.1,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.019998
222200,9280.0,0.98,1.0,0.0,0.0,11.0,18.0,2.0,29.0,1.0,10.0,12.0,0.043329
222500,3148.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,1.0,17.0,15.0,0.049995
222600,4950.0,0.51,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,16.0,5.0,0.019998
222700,4714.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,1.0,10.0,13.0,0.043329
222800,1000.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,0.026664
222900,3156.0,0.41,1.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,27.0,10.0,0.036663
230100,3486.0,0.0,0.0,1.0,42.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,0.15665099999999998
