Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
160100,11388.0,3.0,1.0,0.0,0.0,6.0,8.0,2.0,23.0,1.0,8.0,6.0,0.023331
160200,9975.0,1.03,1.0,0.0,0.0,11.0,13.0,0.0,0.0,3.0,26.0,11.0,0.039996
160300,3475.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,26.0,0.08665799999999999
160400,14370.0,0.0,0.0,1.0,9.0,13.0,10.0,0.0,0.0,1.0,3.0,8.0,0.056661
160501,3718.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,19.0,0.063327
160502,3919.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,0.039996000000000004
160601,6392.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,27.0,9.0,0.029997
160602,11229.0,58.07,6.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,5.0,6.0,0.039996000000000004
160700,18825.0,14.81,1.0,0.0,0.0,12.0,7.0,0.0,0.0,2.0,7.0,6.0,0.023331
160800,16812.0,4.35,1.0,0.0,0.0,13.0,9.0,0.0,0.0,3.0,14.0,8.0,0.029997
160900,7536.0,8.82,2.0,0.0,0.0,14.0,21.0,2.0,27.0,0.0,0.0,16.0,0.059994
161000,6294.0,0.0,0.0,0.0,0.0,10.0,18.0,2.0,33.0,1.0,12.0,16.0,0.053328
161100,4342.0,0.0,0.0,0.0,0.0,17.0,30.0,0.0,0.0,1.0,11.0,32.0,0.106656
161200,8835.0,12.08,2.0,0.0,0.0,5.0,6.0,0.0,0.0,2.0,18.0,6.0,0.026664
161300,7324.0,0.0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,1.0,5.0,18.0,0.059994
170100,6375.0,7.02,2.0,0.0,0.0,25.0,45.0,0.0,0.0,1.0,12.0,31.0,0.109989
170200,11907.0,9.45,1.0,0.0,0.0,17.0,16.0,0.0,0.0,2.0,13.0,12.0,0.043329000000000006
170300,10450.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,0.0,1.0,3.0,17.0,0.056661
170400,4334.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,21.0,0.069993
170500,10618.0,0.0,0.0,0.0,0.0,17.0,12.0,0.0,0.0,2.0,9.0,14.0,0.046662
170600,4780.0,14.04,2.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,11.0,0.04332899999999999
170700,6714.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,1.0,6.0,11.0,0.036662999999999994
170800,12258.0,0.0,0.0,1.0,12.0,12.0,11.0,0.0,0.0,2.0,12.0,9.0,0.069993
170900,2161.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,21.0,0.069993
171000,20421.0,18.7,1.0,0.0,0.0,23.0,13.0,0.0,0.0,2.0,6.0,10.0,0.036662999999999994
171100,4514.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,24.0,0.07999200000000001
180100,19389.0,4.36,1.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,6.0,8.0,0.029997
190100,4706.0,0.33,1.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,15.0,0.053328
190200,12566.0,0.31,1.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,9.0,0.03333
