,NAME,Total Pop (#),Total HH (#),Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: < 18,Age: 18+,Age: 65+,state,county,tract
62,"Census Tract 6113, Cook County, Illinois",2481.0,824.0,32.6,67.4,76.6,5.2,0.0,0.0,0.0,18.3,87.3,12.7,23.0,18.7,47.3,2.7,2.6,1.2,26786.0,27.7,72.3,12.4,17,031,611300
63,"Census Tract 6116, Cook County, Illinois",1509.0,484.0,49.2,50.8,41.2,40.4,1.3,0.9,0.0,18.8,55.1,44.9,13.4,14.5,57.3,4.1,1.6,0.0,36014.0,26.2,73.8,9.8,17,031,611600
64,"Census Tract 6203, Cook County, Illinois",7706.0,1993.0,67.6,32.4,51.1,2.8,1.5,0.0,0.0,47.4,78.1,21.9,18.7,10.5,37.0,7.9,9.0,1.4,54299.0,31.3,68.7,10.0,17,031,620300
65,"Census Tract 6204, Cook County, Illinois",4436.0,1208.0,77.6,22.4,52.2,0.9,2.9,0.3,0.0,44.7,90.5,9.5,20.4,10.2,36.7,1.3,4.4,4.6,52000.0,28.4,71.6,8.5,17,031,620400
66,"Census Tract 8190, Cook County, Illinois",4513.0,1533.0,84.4,15.6,98.6,0.4,0.0,0.0,0.0,1.8,5.2,94.8,0.9,1.7,9.8,1.9,40.1,35.6,136875.0,30.4,69.6,17.4,17,031,819000
67,"Census Tract 8193, Cook County, Illinois",2753.0,987.0,83.1,16.9,82.3,6.7,0.0,1.8,0.0,13.7,27.1,72.9,2.2,4.0,30.1,9.4,16.6,13.1,67788.0,25.7,74.3,13.5,17,031,819300
68,"Census Tract 8204, Cook County, Illinois",5992.0,1611.0,45.4,54.6,63.1,13.8,0.2,1.4,0.0,21.9,75.4,24.6,22.8,13.0,30.8,6.1,7.4,1.6,41637.0,31.4,68.6,9.6,17,031,820400
69,"Census Tract 8208, Cook County, Illinois",4220.0,1195.0,84.8,15.2,73.2,5.3,0.2,1.3,0.0,21.5,52.3,47.7,8.5,7.1,46.3,6.4,8.2,2.0,67617.0,26.4,73.6,11.0,17,031,820800
70,"Census Tract 1701, Cook County, Illinois",1805.0,982.0,72.3,27.7,84.3,6.9,0.0,5.3,0.0,3.5,10.3,89.7,6.2,11.2,28.0,5.0,15.9,9.6,39643.0,6.0,94.0,38.5,17,031,170100
71,"Census Tract 1707, Cook County, Illinois",2941.0,1041.0,83.7,16.3,84.8,0.5,0.0,12.0,0.2,4.9,19.3,80.7,4.3,4.8,34.8,7.1,18.5,6.2,74414.0,22.3,77.7,14.9,17,031,170700
72,"Census Tract 1901, Cook County, Illinois",2534.0,824.0,32.2,67.8,45.1,2.2,0.9,3.6,0.0,52.3,83.7,16.3,25.3,11.0,30.5,4.6,8.4,3.4,35565.0,27.9,72.1,12.2,17,031,190100
73,"Census Tract 2205, Cook County, Illinois",2552.0,1201.0,42.5,57.5,89.3,6.0,0.2,7.2,0.0,1.7,18.6,81.4,0.6,2.4,15.6,2.7,45.5,26.5,80433.0,11.4,88.6,7.6,17,031,220500
74,"Census Tract 2227, Cook County, Illinois",2692.0,848.0,28.9,71.1,82.0,11.2,1.5,2.2,0.3,4.9,55.4,44.6,7.9,7.8,28.7,5.9,24.7,10.0,62100.0,25.8,74.2,4.5,17,031,222700
75,"Census Tract 2312, Cook County, Illinois",6138.0,1820.0,31.8,68.2,9.1,54.3,0.9,0.1,0.0,37.8,43.6,56.4,21.0,19.7,22.8,5.2,7.9,2.6,29120.0,30.0,70.0,11.0,17,031,231200
76,"Census Tract 2315, Cook County, Illinois",6699.0,1840.0,38.7,61.3,3.0,87.4,0.0,0.0,0.3,9.3,10.3,89.7,7.6,16.5,39.8,5.7,2.9,1.5,28013.0,25.8,74.2,11.6,17,031,231500
77,"Census Tract 2405, Cook County, Illinois",2294.0,1267.0,74.5,25.5,89.4,2.8,0.4,11.0,0.0,0.4,9.4,90.6,0.0,0.0,4.7,1.9,49.7,39.9,151369.0,13.0,87.0,1.7,17,031,240500
78,"Census Tract 2409, Cook County, Illinois",1015.0,503.0,25.4,74.6,56.0,21.7,1.1,11.4,3.3,19.5,42.6,57.4,13.9,6.0,14.3,7.8,20.5,18.3,39219.0,16.8,83.2,13.3,17,031,240900
79,"Census Tract 2422, Cook County, Illinois",3373.0,1677.0,35.7,64.3,82.2,7.4,1.2,5.4,0.0,5.6,13.0,87.0,0.8,2.1,5.4,2.2,42.7,39.3,92083.0,12.4,87.6,2.0,17,031,242200
80,"Census Tract 2435, Cook County, Illinois",3263.0,1764.0,43.8,56.2,76.6,15.6,0.2,10.2,0.0,1.1,6.3,93.7,0.6,1.2,7.5,2.6,45.5,31.8,101375.0,13.0,87.0,4.1,17,031,243500
81,"Census Tract 2505, Cook County, Illinois",7669.0,2797.0,72.8,27.2,50.7,34.3,1.2,4.6,0.0,14.1,28.2,71.8,4.5,6.4,23.8,6.1,20.9,18.0,74347.0,23.1,76.9,12.5,17,031,250500
82,"Census Tract 2510, Cook County, Illinois",907.0,336.0,60.7,39.3,3.0,82.7,0.0,0.0,0.0,14.3,15.0,85.0,1.3,11.3,52.4,4.7,4.1,6.8,37000.0,25.9,74.1,14.7,17,031,251000
83,"Census Tract 2514, Cook County, Illinois",4544.0,1712.0,26.8,73.2,4.7,93.0,0.1,0.7,0.0,2.6,3.9,96.1,3.6,22.0,26.5,12.7,10.1,4.6,29518.0,22.1,77.9,14.9,17,031,251400
84,"Census Tract 2608, Cook County, Illinois",2681.0,870.0,22.8,77.2,4.1,97.5,0.0,0.2,0.0,0.4,0.4,99.6,3.3,22.9,43.1,10.0,2.1,3.1,22083.0,31.5,68.5,9.4,17,031,260800
85,"Census Tract 501, Cook County, Illinois",2711.0,1124.0,42.6,57.4,88.0,3.5,1.4,9.4,0.5,1.3,8.4,91.6,3.7,3.9,6.2,2.2,43.0,30.6,95750.0,20.8,79.2,7.7,17,031,050100
86,"Census Tract 507, Cook County, Illinois",1593.0,674.0,69.9,30.1,94.9,1.1,0.3,4.7,0.0,0.8,3.3,96.7,0.0,3.1,4.1,1.0,42.1,42.4,128676.0,20.6,79.4,5.8,17,031,050700
87,"Census Tract 621, Cook County, Illinois",3740.0,1797.0,33.4,66.6,88.6,3.7,0.0,9.8,0.0,0.2,8.6,91.4,1.6,1.3,5.1,3.9,48.4,29.0,91375.0,6.8,93.2,7.0,17,031,062100
88,"Census Tract 6201, Cook County, Illinois",4782.0,1204.0,74.9,25.1,45.0,0.0,6.9,5.0,0.0,44.5,86.4,13.6,17.4,7.9,42.9,8.6,8.8,2.7,51296.0,27.8,72.2,10.1,17,031,620100
89,"Census Tract 6308, Cook County, Illinois",7616.0,1753.0,58.5,41.5,39.7,4.8,0.0,0.3,0.0,56.3,93.1,6.9,29.3,12.3,35.7,5.2,3.7,2.0,42855.0,32.9,67.1,6.0,17,031,630800
90,"Census Tract 6407, Cook County, Illinois",3644.0,1100.0,76.3,23.7,71.3,2.3,1.3,0.8,0.0,29.2,61.6,38.4,9.9,9.6,40.7,8.8,11.6,4.3,49938.0,31.3,68.7,9.6,17,031,640700
91,"Census Tract 6501, Cook County, Illinois",4278.0,1206.0,54.7,45.3,51.0,2.1,0.0,1.2,0.1,49.0,83.7,16.3,28.5,12.5,33.8,3.9,3.0,2.8,41250.0,28.3,71.7,11.4,17,031,650100
