,NAME,Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: 18+,Age: 65+,state,county,tract
763,"Census Tract 6716, Cook County, Illinois",41.0,59.0,1.5,93.0,0.0,0.0,0.0,5.5,5.5,94.5,6.9,18.5,33.7,3.6,3.9,1.7,19766.0,72.7,21.3,17,031,671600
764,"Census Tract 6720, Cook County, Illinois",77.4,22.6,1.6,98.4,0.0,0.0,0.0,0.2,0.4,99.6,4.8,13.7,42.6,2.6,7.8,1.1,35247.0,71.4,15.0,17,031,672000
765,"Census Tract 8074, Cook County, Illinois",58.2,41.8,76.0,4.9,0.0,20.9,0.0,0.7,14.3,85.7,11.0,6.6,20.9,6.6,22.9,17.8,59051.0,76.0,13.0,17,031,807400
766,"Census Tract 8076, Cook County, Illinois",93.3,6.7,50.8,7.1,0.0,40.2,0.0,3.7,11.6,88.4,12.6,6.2,24.4,7.6,25.2,10.2,65565.0,77.5,17.8,17,031,807600
767,"Census Tract 8079, Cook County, Illinois",93.0,7.0,65.7,1.4,2.0,33.5,0.0,1.2,10.1,89.9,6.1,2.7,12.3,7.2,36.2,18.3,107429.0,80.1,23.2,17,031,807900
768,"Census Tract 8024.03, Cook County, Illinois",69.3,30.7,88.0,1.3,1.2,10.7,0.0,0.0,4.1,95.9,2.2,1.5,21.4,5.7,29.8,15.8,57756.0,91.0,36.1,17,031,802403
769,"Census Tract 8024.04, Cook County, Illinois",70.5,29.5,72.6,1.0,0.0,14.0,0.0,14.2,37.6,62.4,9.8,7.4,26.7,5.5,22.9,6.0,46838.0,76.7,14.5,17,031,802404
770,"Census Tract 8025.05, Cook County, Illinois",43.0,57.0,63.8,3.2,0.0,13.5,0.0,20.0,54.1,45.9,15.0,5.9,22.5,5.4,23.3,6.9,57692.0,73.1,8.4,17,031,802505
771,"Census Tract 8025.06, Cook County, Illinois",73.8,26.2,85.4,0.0,0.9,5.0,0.0,12.6,61.7,38.3,11.5,15.2,33.7,5.9,13.8,4.8,56354.0,72.8,7.6,17,031,802506
772,"Census Tract 8026.07, Cook County, Illinois",97.0,3.0,91.7,0.0,0.0,0.0,0.0,8.3,9.6,90.4,3.4,0.0,27.9,7.1,12.3,15.1,61563.0,75.5,28.7,17,031,802607
773,"Census Tract 8026.08, Cook County, Illinois",91.2,8.8,93.4,0.0,0.0,6.4,0.0,0.3,5.7,94.3,1.0,1.5,19.4,9.9,32.5,13.1,63818.0,82.3,27.2,17,031,802608
774,"Census Tract 8026.09, Cook County, Illinois",59.4,40.6,84.7,1.1,0.0,10.5,0.0,4.6,47.6,52.4,12.0,7.1,33.5,4.0,20.1,6.5,49942.0,72.8,5.9,17,031,802609
775,"Census Tract 8190, Cook County, Illinois",77.3,22.7,94.9,2.3,0.4,1.9,0.0,1.9,5.4,94.6,1.7,1.7,12.2,4.7,35.2,24.8,108818.0,71.7,15.5,17,031,819000
776,"Census Tract 8193, Cook County, Illinois",77.4,22.6,99.2,0.8,2.5,0.0,0.2,0.8,17.5,82.5,0.7,4.2,36.1,7.8,17.3,10.7,75435.0,77.6,9.7,17,031,819300
777,"Census Tract 8204, Cook County, Illinois",56.8,43.2,69.3,14.3,2.5,0.1,0.0,17.0,75.6,24.4,18.6,14.9,37.2,3.2,6.0,1.4,48115.0,74.0,10.0,17,031,820400
778,"Census Tract 8208, Cook County, Illinois",87.5,12.5,71.6,1.9,0.0,2.6,0.3,25.3,45.4,54.6,13.5,6.5,40.6,5.9,14.1,2.4,68750.0,71.8,12.0,17,031,820800
779,"Census Tract 1701, Cook County, Illinois",82.9,17.1,90.3,3.1,0.0,5.3,0.0,1.4,11.3,88.7,5.8,10.7,21.5,4.7,19.5,10.6,46667.0,86.0,32.9,17,031,170100
780,"Census Tract 1707, Cook County, Illinois",71.4,28.6,93.3,0.0,0.0,5.2,0.0,1.9,22.5,77.5,13.8,7.9,28.8,11.2,15.6,6.4,55691.0,76.7,12.8,17,031,170700
781,"Census Tract 1901, Cook County, Illinois",34.0,66.0,45.3,2.6,0.0,2.2,0.0,50.7,79.4,20.6,21.7,15.0,30.3,4.9,3.7,1.7,28924.0,74.4,8.1,17,031,190100
782,"Census Tract 2205, Cook County, Illinois",34.9,65.1,83.3,11.0,0.6,4.0,0.0,3.3,30.0,70.0,8.7,4.8,13.3,5.1,36.9,16.9,59375.0,85.9,7.9,17,031,220500
783,"Census Tract 2227, Cook County, Illinois",42.8,57.2,81.3,7.7,0.0,0.0,0.0,13.0,69.2,30.8,10.9,4.9,40.3,5.7,8.8,6.7,42608.0,73.1,8.2,17,031,222700
784,"Census Tract 2312, Cook County, Illinois",33.5,66.5,12.5,77.0,0.0,0.5,0.0,10.7,20.8,79.2,13.4,19.4,32.6,3.6,4.4,3.2,22576.0,69.5,6.5,17,031,231200
785,"Census Tract 2315, Cook County, Illinois",34.1,65.9,2.6,95.9,0.1,0.7,0.3,2.5,2.8,97.2,11.0,34.7,25.6,3.1,3.5,1.3,19455.0,70.6,16.7,17,031,231500
786,"Census Tract 2405, Cook County, Illinois",64.2,35.8,88.9,2.9,0.0,6.8,0.0,4.0,7.9,92.1,3.9,0.0,1.4,2.1,56.7,32.0,107394.0,91.4,4.3,17,031,240500
787,"Census Tract 2409, Cook County, Illinois",25.7,74.3,63.1,13.5,0.3,10.3,0.0,15.7,53.7,46.3,22.3,7.0,19.8,1.4,17.4,19.8,36250.0,78.1,16.5,17,031,240900
788,"Census Tract 2422, Cook County, Illinois",40.3,59.7,89.0,4.8,1.1,5.5,0.8,1.5,18.9,81.1,5.4,3.6,5.8,6.0,52.7,22.0,79858.0,86.2,3.4,17,031,242200
789,"Census Tract 2435, Cook County, Illinois",47.9,52.1,75.8,17.1,0.4,7.5,0.5,2.3,8.6,91.4,1.0,2.0,6.1,2.8,43.5,30.7,96023.0,84.5,2.4,17,031,243500
790,"Census Tract 2505, Cook County, Illinois",83.0,17.0,61.5,29.8,0.3,1.6,0.0,8.7,27.1,72.9,3.5,5.6,20.5,10.3,22.4,12.5,67646.0,76.7,12.1,17,031,250500
791,"Census Tract 2510, Cook County, Illinois",38.7,61.3,12.7,87.3,0.0,0.0,0.0,0.0,12.7,87.3,6.7,17.0,42.9,4.0,1.8,4.1,23214.0,67.7,8.6,17,031,251000
792,"Census Tract 1909, Cook County, Illinois",58.3,41.7,35.7,14.7,0.0,0.4,0.0,49.3,74.7,25.3,16.1,17.9,22.3,8.3,11.6,2.6,52917.0,77.5,6.7,17,031,190900
793,"Census Tract 2003, Cook County, Illinois",33.3,66.7,32.6,0.5,1.2,0.0,0.0,69.5,96.1,3.9,39.2,16.4,22.1,2.1,6.5,1.3,40833.0,68.5,8.3,17,031,200300
794,"Census Tract 1101, Cook County, Illinois",64.4,35.6,81.6,2.7,0.7,10.0,1.0,8.1,18.4,81.6,3.4,11.4,26.8,10.3,17.9,7.9,62520.0,75.8,12.0,17,031,110100
795,"Census Tract 1102, Cook County, Illinois",60.0,40.0,86.2,0.9,1.5,15.3,0.0,0.8,13.3,86.7,2.7,4.6,29.2,10.1,20.2,5.2,57641.0,76.4,13.3,17,031,110200
796,"Census Tract 1302, Cook County, Illinois",79.0,21.0,81.8,4.9,0.0,10.8,0.6,4.4,17.5,82.5,1.3,3.8,24.5,8.9,31.1,17.3,71806.0,75.9,14.4,17,031,130200
797,"Census Tract 8030.05, Cook County, Illinois",82.5,17.5,94.6,4.1,0.0,2.2,0.0,0.0,0.5,99.5,0.8,2.0,22.2,12.5,34.9,14.1,51250.0,78.8,14.9,17,031,803005
798,"Census Tract 8043.06, Cook County, Illinois",86.0,14.0,63.9,3.2,0.0,2.3,0.0,32.9,40.8,59.2,10.9,12.9,30.4,6.7,13.2,3.6,61250.0,71.0,9.7,17,031,804306
799,"Census Tract 8046.03, Cook County, Illinois",35.7,64.3,63.9,5.4,1.8,19.5,0.0,12.3,22.4,77.6,5.5,5.4,21.0,10.3,30.2,13.9,49639.0,81.9,7.8,17,031,804603
800,"Census Tract 8047.12, Cook County, Illinois",81.0,19.0,65.9,8.7,0.5,17.2,0.0,8.7,11.1,88.9,1.3,2.8,25.9,7.2,29.5,16.9,95174.0,76.1,6.7,17,031,804712
801,"Census Tract 8048.06, Cook County, Illinois",86.8,13.2,50.4,12.4,0.0,12.3,0.0,26.0,31.6,68.4,8.3,7.4,29.7,11.1,16.4,7.3,76188.0,70.8,6.4,17,031,804806
802,"Census Tract 8048.07, Cook County, Illinois",87.1,12.9,78.3,4.6,0.8,11.8,0.0,6.6,14.7,85.3,1.3,3.4,28.1,10.9,24.9,9.7,69710.0,74.5,11.1,17,031,804807
803,"Census Tract 8048.09, Cook County, Illinois",93.4,6.6,89.4,2.5,0.0,10.6,1.6,0.3,7.2,92.8,4.7,4.3,21.5,10.0,21.6,14.1,94568.0,79.2,13.9,17,031,804809
804,"Census Tract 8198.01, Cook County, Illinois",97.0,3.0,99.1,0.2,0.0,0.0,0.0,0.6,2.9,97.1,0.3,0.3,5.7,4.1,44.0,35.9,148750.0,64.9,9.9,17,031,819801
805,"Census Tract 8205.02, Cook County, Illinois",66.3,33.7,88.5,7.1,1.1,2.9,0.0,2.0,10.4,89.6,10.4,15.8,36.4,10.3,7.8,2.8,54443.0,82.9,20.8,17,031,820502
806,"Census Tract 8209.01, Cook County, Illinois",65.7,34.3,85.5,0.8,0.2,2.6,0.0,11.6,26.5,73.5,8.5,14.4,39.2,6.3,9.2,1.0,47203.0,78.7,12.5,17,031,820901
807,"Census Tract 8220, Cook County, Illinois",80.5,19.5,97.0,0.0,0.3,0.0,0.0,3.0,18.2,81.8,3.0,4.7,38.5,7.2,10.4,4.0,49094.0,76.5,15.6,17,031,822000
808,"Census Tract 8226.01, Cook County, Illinois",91.4,8.6,95.5,0.7,1.0,0.7,0.0,3.4,11.7,88.3,1.9,5.7,32.8,6.7,21.7,11.9,62530.0,77.8,20.2,17,031,822601
809,"Census Tract 8227.02, Cook County, Illinois",78.8,21.2,84.0,6.5,1.9,2.4,0.0,5.2,9.1,90.9,2.6,4.4,36.0,5.9,18.4,10.6,46828.0,80.0,22.5,17,031,822702
810,"Census Tract 8244, Cook County, Illinois",49.7,50.3,49.8,45.8,0.0,1.0,0.0,4.4,12.8,87.2,10.7,11.5,35.9,4.2,7.6,3.1,45500.0,78.5,19.2,17,031,824400
811,"Census Tract 8246.02, Cook County, Illinois",76.5,23.5,88.2,8.1,1.4,0.6,0.0,4.7,17.3,82.7,1.8,7.2,28.9,8.5,17.4,4.2,64583.0,72.9,8.6,17,031,824602
812,"Census Tract 8258.02, Cook County, Illinois",76.6,23.4,16.3,79.4,0.0,1.3,0.0,2.9,10.1,89.9,7.9,5.2,22.6,10.3,14.8,6.3,45259.0,76.2,9.5,17,031,825802
813,"Census Tract 8276, Cook County, Illinois",61.7,38.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,6.7,10.3,40.0,5.4,12.7,2.5,31404.0,73.3,13.5,17,031,827600
814,"Census Tract 8278.05, Cook County, Illinois",93.7,6.3,20.0,79.1,0.0,0.0,0.0,1.0,2.0,98.0,3.9,3.5,30.6,7.7,9.8,16.1,59327.0,79.8,18.5,17,031,827805
815,"Census Tract 8282.01, Cook County, Illinois",65.3,34.7,53.8,41.5,1.0,1.5,0.0,3.4,10.2,89.8,0.0,7.8,36.2,8.7,14.1,5.6,44805.0,72.0,11.3,17,031,828201
816,"Census Tract 8096, Cook County, Illinois",68.5,31.5,49.4,40.4,0.0,3.3,0.0,8.7,18.3,81.7,7.5,7.8,24.7,2.8,15.9,27.3,60735.0,78.0,10.1,17,031,809600
817,"Census Tract 8104, Cook County, Illinois",92.4,7.6,94.1,0.0,0.0,2.9,0.0,3.7,8.6,91.4,2.4,3.1,21.3,7.3,23.8,22.7,74914.0,77.7,17.4,17,031,810400
818,"Census Tract 8106, Cook County, Illinois",46.0,54.0,92.8,1.4,1.5,4.4,0.0,2.4,10.8,89.2,9.2,8.4,33.3,6.4,14.0,7.3,46868.0,81.1,16.9,17,031,810600
819,"Census Tract 8109, Cook County, Illinois",68.5,31.5,78.7,1.9,2.2,5.4,1.1,12.9,26.3,73.7,4.1,6.9,36.3,3.7,14.1,10.3,53375.0,86.6,17.2,17,031,810900
820,"Census Tract 8113.01, Cook County, Illinois",81.2,18.8,66.5,4.5,1.7,9.1,0.4,20.9,47.4,52.6,16.9,10.2,30.0,4.4,18.0,1.7,63424.0,75.8,12.2,17,031,811301
821,"Census Tract 8113.02, Cook County, Illinois",49.3,50.7,47.8,13.3,0.0,3.8,0.0,36.7,64.2,35.8,16.2,11.9,29.7,7.8,9.0,1.6,37875.0,67.8,8.1,17,031,811302
822,"Census Tract 8040, Cook County, Illinois",89.5,10.5,89.5,2.4,0.4,3.5,0.0,6.0,15.6,84.4,6.3,3.0,32.7,8.8,12.1,10.8,64727.0,80.4,16.0,17,031,804000
823,"Census Tract 8121, Cook County, Illinois",71.5,28.5,58.8,30.4,1.8,7.0,0.0,3.5,6.0,94.0,0.9,3.2,8.5,8.4,27.7,30.0,69210.0,72.2,10.6,17,031,812100
824,"Census Tract 8135, Cook County, Illinois",61.3,38.7,36.6,2.6,0.5,0.0,0.0,61.3,85.2,14.8,25.2,8.9,30.3,2.5,7.7,3.2,49421.0,68.1,7.7,17,031,813500
825,"Census Tract 8136, Cook County, Illinois",54.5,45.5,22.6,2.8,0.6,0.4,0.0,74.8,92.6,7.4,33.1,12.2,38.5,3.4,2.4,2.4,41810.0,66.2,4.3,17,031,813600
826,"Census Tract 8296, Cook County, Illinois",77.4,22.6,91.0,8.2,1.3,2.3,0.0,3.7,15.4,84.6,3.9,9.4,43.7,4.7,7.2,3.0,47455.0,75.4,13.7,17,031,829600
827,"Census Tract 8297, Cook County, Illinois",55.0,45.0,25.9,74.7,0.0,1.1,0.0,0.8,0.9,99.1,5.6,11.6,44.2,8.7,9.2,2.5,34028.0,70.0,14.5,17,031,829700
828,"Census Tract 8298, Cook County, Illinois",91.6,8.4,49.2,50.1,0.0,3.5,0.0,1.7,1.4,98.6,0.0,1.4,11.5,7.2,31.4,26.7,91637.0,74.5,16.9,17,031,829800
